Brand,RAM_GB,Storage_GB,Camera_MP,Battery_mAh,Screen_Size,Price
Samsung,4,64,12,5000,6.5,18000.0
Apple,8,128,48,3279,6.1,79900.0
Xiaomi,6,128,50,5000,6.6,22000.0
Oneplus,8,256,50,4500,6.7,35000.0
Realme,4,64,64,5000,6.5,16000.0
Vivo,6,128,50,4500,6.4,28000.0
Oppo,8,256,48,5000,6.6,30000.0
Samsung,12,256,108,5000,6.8,45000.0
Apple,8,128,48,3279,6.1,89900.0
Xiaomi,6,128,50,5000,6.6,24000.0
Oneplus,12,256,50,4500,6.7,55000.0
Realme,4,64,64,5000,6.5,15000.0
Vivo,8,128,50,4500,6.4,27000.0
Oppo,6,128,48,5000,6.6,25000.0
Samsung,4,64,50,3279,6.5,19000.0
Apple,12,256,48,3279,6.1,29000.0
Xiaomi,8,128,108,5000,6.7,32000.0
Oneplus,16,256,50,4500,6.7,60000.0
Realme,6,128,64,5000,6.5,21000.0
Vivo,8,256,50,4500,6.4,29000.0
