Brand,RAM_GB,Storage_GB,Camera_MP,Battery_mAh,Screen_Size,Price
Samsung,4,64,12,5000,6.5,18000
Apple,8,128,48,3279,6.1,79900
Xiaomi,6,128,50,5000,6.6,22000
OnePlus,8,256,50,4500,6.7,35000
Realme,4,64,64,5000,6.5,16000
Vivo,6,128,50,4500,6.4,28000
Oppo,8,256,48,5000,6.6,30000
Samsung,12,256,108,5000,6.8,45000
Apple,8,128,48,3279,6.1,89900
Xiaomi,6,128,50,5000,6.6,24000
OnePlus,12,256,50,4500,6.7,55000
Realme,4,64,64,5000,6.5,15000
 vivo ,8,128,50,4500,6.4,27000
Oppo,6,128,48,5000,6.6,25000
Samsung,4,64,50,3279,6.5,19000
Apple,12,256,48,3279,6.1,
Xiaomi,8,128,108,5000,6.7,32000
 oneplus ,16,256,50,4500,6.7,60000
Realme,6,128,64,5000,6.5,21000
Vivo,8,256,50,4500,6.4,29000
OnePlus,8,256,50,4500,6.7,35000
Samsung,12,256,108,5000,6.8,45000
